id,title,description,ticket_url,ticket_price,ticket_tier,free_event,food_available,indoor_outdoor,age,promoter,manual_artist_names,event_image_url,dice_url,,,
568,T4T LUV NRG (I.T. presents),"After the transcendent experience of last year's I.T. presents T4T LUV NRG, and hot on the heels of two Samhains (XXIII & XXIV), we’re bringing back the LUV NRG Soundsystem to launch the eternal beat – the Motherbeat – for the weekend, as the second of 6 events IT will be presenting at the Tangent from May 21 til May 25. This night will celebrate a wider view of T4T with both rooms curated to that vision.

Coming all the way from New Hampshire, T4T LUV NRG’s mobile sound rig is a monument of intention, conceived by Eris & Octa, and operated by Faited of Oakland’s Envelope Soundsystem. The LUV NRG Soundsystem will be set up in the Ballroom and helmed by the beloved duo from New York and Philadelphia — Boyz II Them (Russell E.L. Butler & ADAB), with a special extended closing set from Octo Octa & Eris Drew.

The Gallery is the bass zone at this year’s T4T. Renowned international producer and T4T recording artist Introspekt will be closing the room with her profound psychedelic and sensual bass explorations. Sister Zo, also performing, is renowned for powerfully fusing all the forms of bass music with elements of techno, Bristol rhythms, and drum and bass. Opening the room will be Detroit’s own Amino, with her deeply thoughtful and powerful sound. Truly a night not to be missed.

Full venue transformation by Amber Gillen & the Infinite Dimensions Crew. Full audiophile sound by Jim Gibbons AVS. LUV NRG Soundsystem presented by T4T LUV NRG and operated by Faited. At the ever evolving Tangent Gallery.",,51.45,3rd release,,,,,,,https://images.ra.co/4758652e1e096f6ceb559a8a42a6c6bf664ede7a.jpg,,,,
569,Razor-N-Tape Takeover,"Razor-N-Tape returns to Motorcity Wine for their annual day-into-night extravaganza on Movement weekend.

Outdoor & Indoor Stage
3pm-2am

RNT IN THE D!",,55,Final release,,,,,,,https://images.ra.co/6e6243a62257d13c3bf435f8b8583afc0c471ada.jpg,,,,
570,100% LIVE Techno – ALL HARDWARE SETS,"Experience the raw, unfiltered core of techno at the 7th installment of 100% LIVE, Detroit’s most unique event during Movement Festival Weekend. Shunning curated playlists for spontaneous creation, masters of the craft utilize synthesizers and drum machines to forge a dynamic, unpredictable sonic journey in real time.

Every pulse is delivered through a premium VOID sound system, ensuring the intense vibrations of hardware-driven music resonate through your core. Join us to celebrate this untamed legacy where the music is born and experienced in a single, fleeting instant.",,67.45,Final release,,,indoor,18+,,,https://images.ra.co/4d090f97dc9d4458ef5565635f1cc299e4b821d6.jpg,,,,
571,Wall of Sound (DVS1 & RE/FORM present),"After two sold-out years, we are teaming up with DVS1 again, bringing Wall of Sound back to Detroit for a third edition on Saturday, May 23rd

Room 1 featuring DVS1, Claudio PRC, Juana, Rødhåd & Traversable Wormhole
Room 2 featuring Justin Aulis Long & Traxx

This project has always been about creating the right conditions for the music to exist as it’s meant to be heard. A system built for depth and pressure, a room designed around sound, lighting carefully curated to enhance the experience, and a crowd willing to be fully present with it.

If you’ve been before, you already understand.
If you haven’t, this is your moment.

PLEASE WEAR HEARING PROTECTION.

NO RE-ENTRY
NO OUTSIDE DRINKS ALLOWED
NO PHOTOS/ VIDEOS ALLOWED

Small clutch bags or wallets that do not exceed 6.5"" x 5.5"" AND Slingbags that do not exceed 12x6x12, with or without a handle or strap, may be carried into the venue along with a clear bag options (clear tote or storage bag, with contents visible from the outside). Oversized bags (i.e. backpacks, suitcases, beach bags, laptop bags, etc.) and camelbacks are prohibited.

ALL BAGS SUBJECT FOR SEARCH",,195,"Combo Tix: 5.23 Wall of Sound, 5.24 Into The Deep, 5.25 Anthology",,,,,,,https://images.ra.co/7ce019f26e425e28d21db5fab9a487c484be2dd3.png,,,,
573,Tresor 313,,,85.7,3rd release,,,,,,,https://images.ra.co/62efc775e23967e87de0bdada6b93737325e78b4.png,,,,
574,10 Years of Texture - Saturday,"During Movement Festival Weekend, Texture returns to Marble Bar to celebrate its 10-year anniversary with a two-day sonic journey in psychedelic club sounds; where dub mutates into leftfield electronics, and electro shakes hands with bass. A continuum built for deep listening and full-body presence.

Over the past decade, what began as an experiment in personal expression has evolved into a platform for exploration.

How can we combine sound design, temporary spatial architecture, and light design recalibrate the body?
How can a room become an instrument?
How can creating conditions with no defined outcomes leave space for new potentials?

Detroit-based light artist Patrick Ethen is back to reshape Marble Bar into an environment of controlled disorientation.

Ten years in, the core remains the same. Stay curious.
Event admin
JacobPark
Update this event",,74.3,3rd release,,,,,,,https://images.ra.co/034db7db4db4a26fa0ef4b282df76e76ff3bba09.jpg,,,,
575,10 Years of Texture (2-day tickets),,,137.15,1st release,,,,,,,,,,,
576,CLUB COUSINS,"A family reunion for the books, Siren + Pillow Princess present: CLUB COUSINS

We’re bringing y’all 6 hours of Black club music from around the world, from cousins across the continent!

@adj999 (Toronto)
@auntiechanel (Det)
@djdolla (Bmore)
@flotussin (Bmore)
@neptuneflesh (DTX)
@sapphyree (Bmore/Det)
@s.dotmusic (Bmore)

Food by Gladys Nite
Lights by Bjphantasyclub

10pm-4am / 21+
PARIS BAR",,28.25,3rd release,,TRUE,,,,,https://images.ra.co/18d8bd466252f8b2157cf12414273b1a009bd4b5.png,,,,
577,"RE/FORM Detroit Weekender (Wall of Sound, Into The Deep, Anthology)",,,195,"Combo Tix: 5.23 Wall of Sound, 5.24 Into The Deep, 5.25 Anthology",,,,,,,,,,,
578,BOWEL MOVEMENT 2026,Bowel Movement is the only solid Movement,,9.99,Early bird,,,,21+,,,https://images.ra.co/50ca3e7975f2370c2c0b97accb1c5b4c5c83563b.jpg,,,,
